step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
810.0,23,593.0,12.617021276595745,3.3578444400362337,23,692.0,0.14011495157437764,23,692.0,False,,
815.0,18,400.0,7.8431372549019605,4.496356281789458,18,649.0,0.18858064560224072,18,649.0,False,,
820.0,14,269.0,5.604166666666667,4.441325391623913,14,518.0,0.1915780035072286,14,518.0,False,,
825.0,18,313.0,6.387755102040816,3.6494224642268844,18,570.0,0.1525462039482588,18,570.0,False,,
830.0,19,373.0,7.313725490196078,4.338172890136469,19,622.0,0.2087762689657083,19,622.0,False,,
835.0,16,353.0,6.921568627450981,5.369252254407089,16,645.0,0.26624946255834314,16,645.0,False,,
840.0,22,452.0,9.224489795918368,4.362965496082531,22,696.0,0.13686135379320838,22,696.0,False,,
845.0,27,542.0,11.061224489795919,3.2086274576316987,27,800.0,0.12279722663314227,27,800.0,False,,
850.0,22,619.0,13.170212765957446,3.57298538582877,22,879.0,0.13278885743349444,22,879.0,False,,
855.0,18,534.0,10.89795918367347,3.748009516686799,18,840.0,0.16701605193429997,18,840.0,False,,
860.0,14,425.0,9.23913043478261,3.973412754299297,14,701.0,0.1996200851130435,14,701.0,False,,
865.0,18,460.0,9.019607843137255,4.468155137469213,18,708.0,0.21950637452158364,18,708.0,False,,
870.0,18,496.0,9.185185185185185,5.531889197332366,18,743.0,0.28509808741661574,18,743.0,False,,
875.0,17,561.0,11.22,5.127384967268121,17,770.0,0.18204397749638226,17,770.0,False,,
880.0,18,217.0,4.34,4.3497505500844555,18,579.0,0.22288466839207577,18,579.0,False,,
885.0,24,329.0,7.1521739130434785,3.0047073149966446,24,540.0,0.08626286066453,24,540.0,False,,
890.0,26,422.0,8.44,3.3772883172887203,26,649.0,0.13921241628457168,26,649.0,False,,
895.0,22,507.0,10.787234042553191,3.625625267882983,22,725.0,0.12094306009974154,22,725.0,False,,
900.0,18,403.0,8.395833333333334,3.8751478090779425,18,687.0,0.14557291468843894,18,687.0,False,,
905.0,14,261.0,5.22,5.0748341329088955,14,547.0,0.2527656279062691,14,547.0,False,,
910.0,16,293.0,5.745098039215686,4.717548349905842,16,519.0,0.23592655250835623,16,519.0,False,,
915.0,20,332.0,6.775510204081633,4.243170605874842,20,547.0,0.1526121928089456,20,547.0,False,,
920.0,15,102.0,2.0816326530612246,4.506017665447069,15,486.0,0.20557611062073186,15,486.0,False,,
925.0,20,157.0,3.4130434782608696,4.494828302341012,20,409.0,0.18954020224960225,20,409.0,False,,
930.0,22,224.0,4.76595744680851,3.819270652763172,22,489.0,0.1560087334524071,22,489.0,False,,
935.0,19,281.0,6.534883720930233,3.6017822656493492,19,522.0,0.08141321606090293,19,522.0,False,,
940.0,15,196.0,3.69811320754717,6.1773806225442405,15,496.0,0.3427495906392244,15,496.0,False,,
945.0,11,93.0,1.9375,5.7206355032049965,11,326.0,0.2896941081240963,11,326.0,False,,
950.0,19,128.0,2.5098039215686274,3.5858850990308078,19,369.0,0.1767450548537155,19,369.0,False,,
955.0,20,179.0,3.6530612244897958,4.2642700285369,20,418.0,0.16182402326103115,20,418.0,False,,
960.0,20,270.0,5.625,5.127386081037169,20,473.0,0.19828098576824574,20,473.0,False,,
965.0,21,373.0,8.108695652173912,5.918312289921977,21,553.0,0.2561511278394811,21,553.0,False,,
970.0,17,360.0,8.0,5.310125854801024,17,552.0,0.2365108939097833,17,552.0,False,,
975.0,17,366.0,8.318181818181818,5.737005171285471,17,464.0,0.3014680215469526,17,464.0,False,,
980.0,15,192.0,4.085106382978723,5.37647825121034,15,416.0,0.2673645486410916,15,416.0,False,,
985.0,21,228.0,5.181818181818182,5.116343660272028,21,341.0,0.22153411303689607,21,341.0,False,,
990.0,19,229.0,5.204545454545454,3.998607924620555,19,403.0,0.1694545894059376,19,403.0,False,,
995.0,17,225.0,5.625,4.048987176095679,17,423.0,0.1499257802901213,17,423.0,False,,
1000.0,17,301.0,6.840909090909091,6.253811315349352,17,438.0,0.2775731801297316,17,438.0,False,,
1005.0,17,386.0,9.414634146341463,6.415618829476513,17,491.0,0.21589414145295602,17,491.0,False,,
1010.0,13,305.0,6.931818181818182,6.7912515399151685,13,488.0,0.4067119102498477,13,488.0,False,,
1015.0,11,291.0,7.275,6.912745308803281,11,406.0,0.41553885271921776,11,406.0,False,,
1020.0,13,334.0,8.35,4.9024295115443906,13,430.0,0.21409951987970238,13,430.0,False,,
1025.0,19,404.0,10.1,5.267013989973018,19,502.0,0.2382573356722483,19,502.0,False,,
1030.0,14,262.0,6.894736842105263,5.060502945188066,14,450.0,0.24136127506645036,14,450.0,False,,
1035.0,16,295.0,7.7631578947368425,5.595244165971212,16,361.0,0.25141633120079854,16,361.0,False,,
1040.0,17,351.0,9.486486486486486,4.8844093746512245,17,430.0,0.21324487922641785,17,430.0,False,,
1045.0,15,406.0,10.41025641025641,5.8024557955437395,15,485.0,0.31492786952541146,15,485.0,False,,
1050.0,12,331.0,8.710526315789474,5.939073717523707,12,481.0,0.31615279981546984,12,481.0,False,,
1055.0,13,355.0,9.594594594594595,5.63513463492893,13,439.0,0.2998124251530944,13,439.0,False,,
1060.0,16,398.0,10.756756756756756,4.062311470151618,16,492.0,0.1492502939728857,16,492.0,False,,
1065.0,17,462.0,12.157894736842104,5.47730300304907,17,552.0,0.2410312756318783,17,552.0,False,,
1070.0,14,415.0,11.216216216216216,4.723504187203346,14,550.0,0.1968307360394728,14,550.0,False,,
1075.0,17,479.0,12.945945945945946,5.19092344704388,17,556.0,0.22455478956985084,17,556.0,False,,
1080.0,17,537.0,15.794117647058824,3.7222076996614613,17,622.0,0.10743174562171169,17,622.0,False,,
1085.0,16,588.0,14.341463414634147,6.371669089820152,16,672.0,0.3806593797203681,16,672.0,False,,
1090.0,9,477.0,11.925,5.752102078597607,9,638.0,0.3097415809656969,9,638.0,False,,
1095.0,13,488.0,11.619047619047619,5.5700594928122955,13,575.0,0.2738807376041379,13,575.0,False,,
1100.0,15,530.0,13.25,4.649663223566272,15,594.0,0.15723615524566392,15,594.0,False,,
1105.0,17,592.0,14.439024390243903,5.75882779741917,17,642.0,0.24229971483060259,17,642.0,False,,
1110.0,16,669.0,18.08108108108108,6.223745715244495,16,696.0,0.21552173852318515,16,696.0,False,,
1115.0,12,634.0,17.61111111111111,5.5680410171653,12,705.0,0.24282548428301723,12,705.0,False,,
1120.0,18,711.0,19.216216216216218,5.342587211571755,18,728.0,0.2747032914107477,18,728.0,False,,
1125.0,17,773.0,19.82051282051282,5.311310982871725,17,800.0,0.30078380749128275,17,800.0,False,,
1130.0,16,827.0,21.763157894736842,4.93510940194532,16,862.0,0.2126331900038187,16,862.0,False,,
